title,content
 手機升級大戰開打！大立光不僅重返股王,原文標題：  手機升級大戰開打！大立光不僅重返股王 林恩平：8月訂單比7月好  原文連結：  https://reurl.cc/11Meg8  發布時間：  2023/07/13 15:16:26  記者署名：  聯合報 記者鍾張涵  原文內容：  「鏡頭之王」大立光董事長林恩平今日證實，8月訂單比7月更好，目前客戶仍以智慧型手 機為主，導入潛望式鏡頭的客戶持續增加，市場趨勢顯示也有多家安卓手機陣營的最高端 旗艦機種，都積極導入潛望式鏡頭。  聯合報數位版日前就以「旗艦手機升級戰 潛望式鏡頭顛覆設計 兵家必爭」為題，報導美 中韓智慧手機重啟升級大戰，讓光學產業重返熱門議題。蘋果下半年即將推出的iPhone 15可望迎來久違的升級，首度搭載潛望式鏡頭，採玻璃加塑膠（G+P）混合鏡頭設計。林 恩平證實，各國客戶經歷貿易戰及景氣低迷後，態度轉趨積極、力求創造差異化，「潛望 式鏡頭有各類規格，如果G+P混合鏡頭做出來的成像是好的，就有可能成為未來旗艦手機 主流趨勢。」  大立光今召開法說會，法說會吸引全球海內外超過400名法人及媒體參與。  大立光公布今年第2季稅後純益36.95億元，季增12.3%，每股純益（EPS）27.69元。累計 今年上半年合併營收為173.3億元，年減13%，稅後純益69.84億元，年減33%，每股純益 52.33元。  其中，大立光第2季營收81.94億元，季減10%，為2014年第1季以來新低，不過，獲利不減 反增，不過，單季營業外收入高達22.71億元，預料多為匯兌收益進補加持，至於單季毛 利率49.28%，季減0.56個百分點，優於預期。  若以產品組合來看，2023年第2季2千萬畫素以上產品約占大立光營收20%到30%，千萬畫素 以上產品約占50%到60%，8百萬以上約占0%到10%，其他產品約占10%到20%。  大立光今（13）日股價收2405元，上漲45元，穩坐股王寶座。昨日大立光、信驊雙雙同收 在2360元，讓台股出現難得一見的雙股王情況，孰料今日一開盤，大立光就率先衝鋒，超 越信驊，重返股王榮耀。  其實法說會前夕就有多家外資機構調提前調升評等，其中匯豐、里昂將投資評等跳升至「 買進」，且大幅調高目標價；摩根大通（小摩）也給予「優於大盤」評等。在外資提前調 升投資評等激勵下，大立光股價展開反彈，昨日追平信驊後，今天早盤最高來到2445元， 超車信驊搶下股王寶座。  歷年最長青的股王大立光隨著智慧手機規格升級遇瓶頸，股價從2017年的6075元高峰一路 下滑到2022年5月的1525元低點。但沉寂多年後，隨著iPhone 15首度導入潛望式鏡頭，也 為光學股帶來新的契機，推動大立光今年來股價從谷底逐步墊高。  法人預期，隨著手機新規格，加上蘋果推出XR頭戴裝置Vision Pro將帶動未來新應用逐步 擴展，光學股最壞情況已過，業界普遍看好iPhone採用潛望式鏡頭將使平均單價（ASP） 揚升，有利大立光未來毛利率表現。  林恩平今日回應，下半年毛利趨勢多取決於產品組合。未來也會觀察玻璃鏡頭的量能需求 ，再決定是否擴大玻璃產能。  心得/評論：  全台股老闆只服 老實樹-林恩平了!!  印象中這是今年法說會第一次正向說法，是不是要重返榮耀了。  沒跟到緯創，希望大粒光帶我飛!!  -- 
 9月ETF配息一次看！這檔「近4次配息金額,原文標題： 9月ETF配息一次看！這檔「近4次配息金額」達3.65元　殖利率最高是它  原文連結： https://www.ftnn.com.tw/news/72749  發布時間： 2023/9/5 11:15  記者署名： 記者李惠婷／綜合報導  原文內容： 台股9月除了人氣AI股、蘋概股指標大立光（3008）等備受矚目，8檔將在9月下旬除息的E TF也不容錯過，在本次ETF配息大隊中，配息金額前三名分別為元大高息低波（00713）， 配0.84元；大華優利高填息（00918），配0.75元；凱基優選高股息30（00915），配0.70 元。然而，以9/1收盤價計算，股息殖利率第一名則是大華優利高填息（00918）。  9月配息之ETF包含以下8檔，元大高息低波（00713）配0.84元；大華優利高填息（00918 ）配0.75元；凱基優選高股息30（00915）配0.7元；群益台灣精選高息（00919）配0.54 元；兆豐台灣產業龍頭存股等權重ETF基金（00921）配0.38元；中信綠能及電動車（0089 6）配0.33元；復華富時不動產（00712）配0.19元；復華台灣科技優息（00929）配 0.11 元。  從9月除息ETF名單中，計算掛牌上市後「近4次配息金額」的前三名： 第一名：元大高息低波（00713）配3.65元 第二名：凱基優選高股息30（00915）配1.24元 第三名：群益台灣精選高息（00919）配1.08元  從9月除息ETF名單中，以9/1收盤價計算之「股息殖利率」的前三名： 第一名：大華優利高填息（00918），殖利率3.62% 第二名：凱基優選高股息30（00915），殖利率3.39% 第三名：群益台灣精選高息（00919），殖利率2.62%  綜以上資訊來看，能看出本次配息金額最高的ETF為元大高息低波（00713）配0.84元，近 4次配息金額的第一名也是元大高息低波配3.65元；然而，以本次殖利率計算，大華優利 高填息（00918）顯然最高，達3.62%。  ◎《FTNN新聞網》提醒您：本資料僅供參考，投資人應獨立判斷，審慎評估並自負投資風 險。  心得/評論： 股息殖利率 第一名：大華優利 第二名：凱基優選 第三名：群益台灣  近四次配息元大為第一  前幾次沒在車上，這幾天觀望一下  再來考慮是否要上車  過了這個村就沒那個店啦  -- 
 全球首條無人半導體封裝生產線亮相！三星,原文標題：  全球首條無人半導體封裝生產線亮相！三星宣佈成功實現自動化  原文連結：  https://www.eet-china.com/mp/a248699.html  發布時間：  2023-09-04 14:22  記者署名：   原文內容：  9 月 4 日消息，與晶圓製造不同，半導體封裝過程中需要大量的人力資源投入。這是因 為前端工藝只需要移動晶圓，但封裝需要移動多個元件，例如基板和包含產品的托盤。  在此之前，封裝加工裝置基本上都需要大量勞動力，但三星電子已經通過晶圓傳送裝置（ OHT）、上下搬運物品的升降機和傳送帶等裝置實現了完全自動化。  三星電子 TSP（測試與系統封裝）總經理金熙烈（Kim Hee-yeol）在“2023 年新一代半 導體封裝裝置與材料創新戰略論壇”上宣佈，該公司已成功建成了世界上第一座無人半導 體封裝工廠。  據介紹，這條自動化生產線位於三星電子天安市和溫陽市封裝工廠，從 2023 年 6 月開 始就已經著手打造，這條生產線可使其製造相關勞動力減少 85%，裝置故障率降低 90%， 效率提高 1 倍以上。  據瞭解，無人生產線的比例僅佔目前三星封裝生產線的 20% 左右，不過三星還制定了到  2030 年將其封裝工廠轉變為全面無人生產的目標。  金熙烈表示，“通過最大限度地減少輪班工作，工程師現在可以承擔更有價值的工作”， “這也將有助於改善員工的健康狀況和生活質量”，“我們將實現‘智能封裝工廠’，基 於硬體和軟體自動化，及時向客戶提供高品質、最低成本的產品”。   心得/評論：  三星很晚才進軍封裝領域  但現在建出世界上第一座無人半導體封裝生產線  目前無人封裝生產線只佔20%  三星計畫到2030年封裝工廠全面無人生產  另外還有新聞說三星取得NVIDIA HBM訂單  -- 
 鉅亨速報 - Factset 最新調查：大立光(30,"原文標題：  鉅亨速報 - Factset 最新調查：大立光(3008-TW)EPS預估上修至131.8元，預估目標價為 2702.5元  原文連結：https://news.cnyes.com/news/id/5313591  發布時間：2023/09/05 17:11  記者署名：  原文內容：  根據FactSet最新調查，共21位分析師，對大立光(3008-TW)做出2023年EPS預估：中位數 由131.8元上修至131.8元，其中最高估值150元，最低估值123.63元，預估目標價為 2702.5元。  市場預估EPS  預估值  2023年  2024年  2025年 最高值  150     160     168 最低值  123.63  131.07  137 平均值  132.5   146.23  152.79 中位數  131.8   148.22  149.74 市場預估營收  預估值 (單位：新台幣千元)      2023年  2024年  2025年 最高值  49,176,780      61,480,000      67,979,000 最低值  41,142,000      45,893,000      50,632,000 平均值  45,455,950      52,370,390      56,698,470 中位數  46,045,000      52,000,000      57,076,340  歷史獲利表現  項目    2022年  2021年  2020年  2019年 EPS     169.52  139.28  182.9   210.7  營業收入 (單位：新台幣千元)      47,675,228      46,962,402  心得/評論： 一天一噴 又一堆分析師看好了上修 笑死 若若問之前被新聞騙下車賣在1930的現在在想什麼? 明天歐印嗎? 還是等回跌到19XX再進場?  -- "
 華通：8月營收創今年新高 下半年看旺,原文標題：華通：8月營收創今年新高 下半年看旺  原文連結：https://mefun.tw/7ba4a8  發布時間：2023.09.06 09:54  記者署名：  原文內容： 〔財經頻道／綜合報導〕HDI板大廠華通（2313）受惠於美系客戶啟動拉貨潮，8月營收站 上9個月以來新高，達64.61億元。華通週三（6日）股價獲買盤買進，股價一度大漲8.2% ，高見49.9元，隨後漲幅收斂，截至台北時間9點42分，股價暫報49.40元，漲幅7.16%， 成交量逾4.7萬張。  華通為美系消費性品牌供應鏈，營收比重高達60％與其相關。隨著美系客戶新機啟動拉貨 潮，華通8月公司營收達64.61億元，月增7.13％，年減10.12％，累計前8月營收達398.51 億元，年減16.9％。  展望今年下半年，華通預期下半年營收可望優於上半年。  法人看好華通下半年營運將顯著升溫，隨著美系旗艦機種推出，並在潛望式鏡頭軟硬結合 板設計下提高市場滲透率，估計華通第3季營收有望季成長3成以上，第4季營收隨終端新 品出貨持續向上達到今年營運高峰。   心得/評論： 今天開盤帶出今年最大量拉高，投信也連續吃了好幾天。 AI玩膩沒量了，會是華通帶動新族群嗎?  -- 
 歐盟公布「看門人」業者名單 蘋果、微軟,歐盟公布「看門人」業者名單 蘋果、微軟、Google 等可能入列  https://www.cool3c.com/article/198552/amp   蘋果、微軟、亞馬遜、Google母公司Alphabet、Meta、三星及位元組跳動在內業者因其所提 供服務，可能都已經被列入歐盟公布「看門人」名單內。  啟用數位市場法之後，歐盟開始著手調查哪些業者提供產品、服務可能涉及市場壟斷，而包 含微軟及蘋果方面似乎強調其服務在市場的佔比份額不夠大，因此不構成市場壟斷。  金融時報報導指稱，歐盟預計公布在其境內提供服務業者具備「看門人」形式的業者名單， 包含蘋果、微軟、亞馬遜、Google母公司Alphabet、Meta、三星及位元組跳動在內業者所提 供服務可能都已經被列入此名單內。  若業者提供服務確定被歐盟列入違反數位市場法名單內，將必須在2024年3月之前調整其服 務運作方式，以及有半年時間的緩衝時間，讓服務能符合歐盟法規要求。  其中，微軟可能會因為Windows市佔形成影響市場局面，但可能會強調其Bing搜尋服務在歐 盟境內使用佔比不高，因此不構成市場壟斷。而蘋果方面雖然可能因為App Store運作模式 引發歐盟調查，但預期會強調其iMessage整體市佔不高，另一方面可能將因應歐盟要求，準 備開放iOS作業系統側載 (sideload)安裝第三方軟體，或是允許第三方軟體市集進駐。  依照先前說明，數位市場法是為了避免科技業者在歐盟市場形成壟斷，而數位服務法則是避 免科技業者在服務內容及數位廣告內容影響競爭，同時也避免影響個人隱私等問題。  其中，新法將要求擔任「看門人」的科技業者允許使用者透過第三方軟體市集下載安裝內容 ，或是直接透過側載方式安裝軟體，另外也必須允許開發者能在軟體服務內提供第三方支付 系統，並且能在「看門人」提供平台以外管道推廣服務內容。  而「看門人」也必須允許開發者使用其提供軟體服務，例如整合簡訊收發、電話撥打等功能 ，另外也必須允許開發者存取硬體功能，例如手機上的NFC、安全元件，或是完整處理器運 算功能等。  —-  廢物歐盟  公司沒競爭力  只會整天搞法令  -- 
 大立光法說 釋追單利多…董座透露高階鏡,原文標題：大立光法說 釋追單利多…董座透露高階鏡頭需求回溫  原文連結：https://udn.com/news/story/7240/7501822?from=udn-catebreaknews_ch2  發布時間：2023-10-13 06:00  記者署名：劉芳妙  原文內容：  大立光（3008）董事長林恩平昨（12）日表示，客戶高階機種新機需求比預期好，並開始 追單，10月拉貨動能比9月好，11月也比10月好，相較前一季，整體高階鏡頭需求有回溫 ，「以前很悲觀，現在沒那麼悲觀，但還是不樂觀。」  大立光昨日召開法說會，林恩平釋出以上訊息。談及市場存貨狀況，他表示，由於零組件 廠減產，手機供應鏈不論通路或零組件的存貨都往比較健康趨勢前進。  大立光是全球手機鏡頭龍頭，其釋出的訊息視為全球手機動態的重要風向球，林恩平有「 業界老實樹」之稱，昨天他一句「高階鏡頭需求有回溫」的說法，外界解讀，這是他連兩 年釋出手機市場悲觀訊息後，手機市場觸底的重要訊號。  大立光昨天公布第3季稅後純益59.52億元，季增61%，為四季來最佳，每股純益44.6元； 前三季稅後純益129.37億元，年減30%，每股純益96.93元。  大立光是蘋果iPhone 15系列新機鏡頭主力供應商，今年iPhone 15新機最大亮點為旗艦機 種首度搭載潛望式鏡頭，由大立光獨家供應，加上華為重返5G市場，新推出的Mate 60 Pro同樣採潛望式鏡頭設計，大立光也是其高階鏡頭主力供應商，在兩大客戶新機力拱下 ，帶動大立光第4季營運不看淡。  大立光9月合併營收55.72億元，月成長22%，是2019年11月以來最佳。針對9月營收優於預 期，林恩平說，主要因外購零件（稜鏡）增加，「那個機種的出貨比較多」。市場分析， 由於稜鏡是此次iPhone 15 Pro新機新增的關鍵零組件之一，每個潛望式鏡頭搭載兩片稜 鏡，大立光雖未供貨，但因外購稜鏡組裝鏡頭，而挹注營收增長。  林恩平表示，因為客戶新機賣得比較好，因此有追單，讓高階市場需求變得多一些。談到 明年手機鏡頭規格升級，林恩平表示，客戶對高階鏡頭興趣比以往更積極一些，光學業只 要有手機領導品牌領先規格，大家都會跟，明年包括主鏡頭、大光圈、潛望式鏡頭或G+P 混合鏡頭詢問度都更多，至於8P鏡頭已做很多，但他坦言，目前採用的客戶少，主要因價 格太貴。  心得/評論： 「以前很悲觀，現在沒那麼悲觀，但還是不樂觀。」 那重點是還是悲觀啊 還有年減30% 慘 但至少有說道新機賣得不錯欣慰一點了 明天電梯向__  -- 
 文曄收購加拿大Future 中國主管機關通過,原文標題：文曄收購加拿大Future 獲中國主管機關通過   原文連結：https://ec.ltn.com.tw/article/breakingnews/4539256   發布時間：2024/01/02 12:54   記者署名：洪友芳   原文內容： IC通路商文曄（3036）收購加拿大通路商Future Electronics全部股權案，日前已獲中國 主管機關公告無條件批准，後續仍待其他國家主管機關審查。  文曄於去年9月中旬宣布以38億美元、達新台幣逾1千億元收購加拿大商Future Electronic100%持股，預計於2024年上半年完成交割，公司預期將有助擴增歐美版圖與產 品線，提升營收與獲利。  文曄目前在全球半導體通路商市場約排名第四，次於艾睿、安富利、大聯大。先前市場傳 出文曄收購案，遭中國主管機關卡關，恐無法過關，但在去年12月22日批准。  Future Electronics成立於1968年，為未上市的老牌且零負債公司，主要耕耘歐美市場， 7成營收以車用、工控領域為主，被動元件更占營收的2成，去年上半年營收為29億美元， 營業利益為2.28億美元，稅後淨利為1.84億美元，淨利率2.3%遠超越文曄的0.7%。  心得/評論： 文曄收購老牌加拿大通路商Future Electronics全部股權案 先前市場傳出遭中國主管機關卡關 恐無法過關 去年12/22中國主管機關公告無條件批准 其他國家應該也穩了?  -- 
 2檔高股息、1檔月月配ETF成分股大換血！,原文標題：2檔高股息、1檔月月配ETF成分股大換血！共40多檔異動 明日生效  原文連結：http://tinyurl.com/448kxudk  發布時間：2024年1月2日 週二 下午6:03  記者署名：陳依旻  原文內容：  包含凱基優選高股息30（00915）、大華優利高填息30（00918）以及月月配等在內，有6 檔ETF追蹤指數進行成分股調整，變動數累計逾40檔，明（3）日起生效。  台灣指數公司公布2024年1月3日指數成分股定期審核結果，結果如下：   凱基優選高股息30（00915）  其追蹤的「台灣指數公司特選臺灣上市上櫃多因子優選高股息30指數」成分股納入1210  大成、1216 統一、2027 大成鋼、2211 長榮鋼、2317 鴻海、2377 微 星、2439 美律、2 891 中信金、5469 瀚宇博、5483 中美晶、6182 合晶、6278 台表科、6414 樺漢、8112  至上。  成分股刪除2006 東和鋼鐵、2301 光寶科、2313 華通、2337 旺宏、2352 佳世達、2382  廣達、2449 京元電子、2458 義隆、2890 永豐金、3005 神基、3036 文曄、 3044 健鼎 、6269 台郡、6670 復盛應用。    大華優利高填息30ETF（00918）  其追蹤的「台灣指數公司特選臺灣上市上櫃優選股利高填息 30 指數」成分股納入1504  東元、2105 正新、2206 三陽工業、2324 仁寶、2360 致茂、2618 長榮 航、2891 中信 金、3005 神基、4763 材料-KY、5483 中美晶、5871 中租-KY、 6147 頎邦、6285 啟碁 、6592 和潤企業、8046 南電、9941 裕融 。  成分股刪除1102 亞泥、2313 華通、2327 國巨、2337 旺宏、2352 佳世達、2379 瑞昱、  2615 萬海、2890 永豐金、3036 文曄、3189 景碩、3231 緯創、3702 大聯 大、6121  新普、6239 力成、6669 緯穎、6770 力積電 。    兆豐龍頭等權重ETF（00921）  其追蹤的「台灣指數公司特選臺灣產業龍頭存股等權重指數」成分股納入1102 亞泥、140 2 遠東新、1609 大亞、1802 台玻、1907 永豐餘、2006 東和 鋼鐵、2618 長榮航、2891  中信金、2912 統一超、3045 台灣大、3708 上緯投 控、5871 中租-KY、6176 瑞儀、62 14 精誠、8454 富邦媒、9934 成霖  成分股刪除1101 台泥、1476 儒鴻、1605 華新、1904 正隆、2027 大成鋼、2303 聯電、  2345 智邦、2454 聯發科、2480 敦陽科、2603 長榮、2892 第一金、2915 潤 泰全、30 08 大立光 。    群益台ESG低碳50ETF（00923）  其追蹤的「台灣指數公司特選臺灣 ESG 低碳 50 指數」成分股納入：2327 國巨、2382  廣達、2385 群光；成分股刪除2371 大同、2834 台企銀、6770 力積電。    永豐ESG低碳高息ETF（00930）  其追蹤的「台灣指數公司特選臺灣上市上櫃 ESG 低碳高息 40 指數」成分股沒有刪除也 沒有新增。    台新永續高息中小ETF（00936）  其追蹤的「台灣指數公司特選臺灣上市上櫃永續高息中小型股指數」成分股納入，1268  漢來美食、1722 台肥、2201 裕隆、2211 長榮鋼、2501 國建、2618 長 榮航、2809 京 城銀、2855 統一證、3005 神基、4126 太醫、6024 群益期、 6214 精誠、6689 伊雲谷 、8163 達方。  成分股刪除1319 東陽、1434 福懋、2313 華通、2352 佳世達、2607 榮運、3264 欣銓、  3376 新日興、3454 晶睿、4770 上品、4958 臻鼎-KY、6182 合晶、8131 福 懋科、893 8 明安、9910 豐泰。    心得/評論：  今天尾盤又是ETF換股大亂鬥！ 台股的漲跌是不是已經被ETF給控制住了？  不過只調整一天而已～明天應該就沒有了  -- 
 台積論壇 N3E祕密武器上場,原文標題：台積論壇 N3E祕密武器上場   原文連結：https://newspaper.ctee.com.tw/news/AA/20240520/A05AA5/1294143   發布時間：2024.05.20 . 張珈睿／台北   記者署名：2024.05.20 . 張珈睿／台北   原文內容：  23日新竹展開 導入FinFLEX的3奈米節點製程，成蘋果M4晶片幕後大功臣  繼台積電發表A16技術後，台積電技術論壇台灣場次將於23日在新竹盛大登場。半導體業者 指出，受惠蘋果推出M4搭載AI神經網路晶片，幕後大功臣就是由台積電引入FinFLEX技術的3 奈米次世代工藝所打造，預料該秘密武器將在本次會議中，再次吸引外界高度矚目。  外資今年大買台積電40.87萬張，市值站穩21兆大關，占台股市值比重逾32％，本益比21.7 倍，為AI龍頭族群中本益比偏低標的。  蘋果M4晶片是目前台積電3奈米節點製程的代表作，凸顯台積電在先進製程上的領先地位； 相比台積電3奈米家族之N3B，N3E製程通過簡化流程和放寬部分參數，提高良率和產能，是 台積電5奈米跨向3奈米的重要一步。  雖然N3E電晶體密度未如N3B大幅提升，但引入FinFLEX技術，達到平衡性能和功耗的要求， 同樣提供M4晶片出色效能。  業界表示，台積電利用FinFLEX技術讓晶片設計人員可在一個模組內混搭不同類型的標準單 元，並針對客戶需求，最佳化效能、功耗、面積（PPA）配置。  業者強調，這樣應用可直接對接當下需要大量核心CPU和GPU的客製化需求；台積電同時也於 技術論壇提出下世代NanoFlex技術，將透過調整標準元件高度，設計客戶所需要的面積功耗 及效能，更被台積電自許為偉大創新，預計將在2奈米市場繼續領先。  台積電也透露，2奈米製程技術在解決對節能運算永無止境的需求方面領先業界，幾乎所有 的AI創新者都正在與台積電合作。  根據台積電公開數據，N3E在SRAM層面大致與5奈米同一水準；不過邏輯電路密度更高，但也 低於N3B。據業內人士透露，N3B相較N5的縮放大約是0.88倍左右，而N3E只有0.94倍左右。  未來在3奈米家族，台積電也持續推出N3P、N3X等製程，進一步優化3奈米節點上的性能；另 外2奈米台積電也推出繼Nanosheet之後的NanoFlex，預估將於技術論壇中被大量提及，同樣 透過在相同的設計區塊中優化高低元件組合，調整設計進而在應用的功耗、效能及面積之間 取得最佳平衡。  心得/評論：  明明用台積電N3B的M3跟 A17pro 都沒有這次M4 測出來大獲好評～～  明明N3B的電晶體密度就比較高。原來N3E的E是flex的E  有用上大招！  無法上傳圖片 自己進台積電裡面看看 https://www.tsmc.com/chinese/news-events/blog-article-20220616       -- 
