AI,1833
營收,1611
市場,1588
台股,1540
指數,1516
產品,1323
台積電,1312
半導體,1146
今年,1057
股價,1051
成長,998
表示,965
產業,929
大立光,928
公司,894
需求,886
表現,879
上漲,849
預期,847
持續,842
技術,836
客戶,821
元件,745
台灣,735
美國,732
應用,681
電子,676
目前,643
外資,630
相關,629
營運,626
法人,615
投資,612
下跌,593
未來,562
族群,549
指出,541
8月,539
手機,536
全球,535
晶片,534
新高,533
台北,533
設備,532
帶動,522
去年,515
10,505
2024年,501
蘋果,500
漲幅,497
以及,486
主要,484
科技,478
鏡頭,477
美元,455
報導,448
下半年,436
發展,433
可望,432
震盪,432
今日,419
智慧,416
加上,409
晶圓,407
記者,405
年增,405
出貨,401
預估,398
美股,397
包括,394
提升,385
9月,384
今天,383
鴻海,383
獲利,382
增加,381
其中,377
光學,374
類股,373
中國,371
伺服器,362
製程,360
iPhone,359
生產,358
產能,356
展望,356
終場,356
供應鏈,355
上半年,354
先進,351
明年,347
影響,343
毛利率,342
封裝,340
領域,340
訂單,339
提供,339
股市,338
2023年,335
不過,328
