營收,2227
市場,2019
AI,2017
台股,1874
指數,1791
產品,1708
台積電,1621
成長,1597
公司,1591
今年,1566
需求,1381
股價,1334
半導體,1321
產業,1258
持續,1189
表示,1166
表現,1137
預期,1117
上漲,1011
電子,1002
客戶,986
技術,963
新高,947
去年,943
大立光,943
全球,930
元件,906
投資,886
營運,885
美國,826
法人,803
應用,800
晶片,784
台灣,769
目前,760
外資,742
帶動,724
美元,722
指出,715
相關,714
未來,697
主要,697
族群,668
手機,658
台北,650
10,648
明年,631
獲利,620
報導,616
蘋果,616
類股,608
下跌,607
訂單,598
鴻海,581
漲幅,571
年增,569
下半年,565
中國,562
可望,558
智慧,554
2024年,553
記者,548
鏡頭,548
科技,540
加上,539
生產,537
影響,526
設備,524
以及,521
預估,518
2023年,507
伺服器,500
發展,499
光學,498
大漲,497
其中,493
出貨,484
震盪,482
增加,481
包括,473
展望,465
今日,462
美股,462
企業,459
動能,456
BR,455
庫存,453
設計,448
今天,446
合作,436
提升,433
聯發科,433
開始,432
6月,430
系統,426
方面,424
日本,418
經濟,418
製程,414
部分,414
