代號,名稱,年月日,收盤價(元),成交量(千股),成交值(千元),報酬率％,三日報酬率,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
3008,大立光,2025/02/27,"2,700",904,"2,454,462",-2.3508,-1.64%,0.6773,"133,468","360,364","2,700","2,705",-2.3789,0.488,0.478,"4,243",13.91,16.2847,1.96,2.0677,,6.0944,3.61,3.6111,-65,2.3508,"2,700","2,970","2,430",,,,TSE
3008,大立光,2025/02/26,"2,765",467,"1,282,758",1.0969,1.10%,0.3499,"133,468","369,040","2,760","2,765",1.0909,0.492,0.367,"1,818",16.62,16.6767,2.12,2.1175,,6.2411,3.53,3.5262,30,1.6453,"2,765","3,040","2,490",,,,TSE
3008,大立光,2025/02/25,"2,735",741,"2,040,562",-0.3643,-0.91%,0.5552,"133,468","365,036","2,735","2,740",-0.365,0.489,0.547,"2,677",16.44,16.4958,2.09,2.0945,,6.1734,3.56,3.5649,-10,2.1858,"2,735","3,005","2,465",,,,TSE
3008,大立光,2025/02/24,"2,745",276,"757,978",0.3656,1.29%,0.2068,"133,468","366,370","2,745","2,750",0.365,0.485,0.222,"1,263",16.5,16.5561,2.1,2.1022,,6.1959,2.46,3.5519,10,1.0969,"2,745","3,015","2,475",,,,TSE
3008,大立光,2025/02/21,"2,735",545,"1,492,353",-0.9058,0.74%,0.4083,"133,468","365,036","2,735","2,740",-0.9099,0.48,0.402,"2,146",16.44,16.4958,2.09,2.0945,,6.1734,2.47,2.6965,-25,1.8116,"2,735","3,005","2,465",,,,TSE
3008,大立光,2025/02/20,"2,760",594,"1,628,453",1.845,0.91%,0.4451,"133,468","368,372","2,755","2,760",1.8282,0.489,0.451,"2,375",16.59,16.6466,2.11,2.1137,,6.2298,2.45,2.6721,50,2.583,"2,760","3,035","2,485",,,,TSE
3008,大立光,2025/02/19,"2,710",336,"913,749",-0.1842,1.50%,0.2517,"133,468","361,699","2,705","2,710",-0.1843,0.478,0.254,"1,726",16.29,16.345,2.08,2.0754,,6.1169,2.49,2.7214,-5,1.105,"2,710","2,980","2,440",,,,TSE
3008,大立光,2025/02/18,"2,715",426,"1,166,721",-0.7313,0.37%,0.3192,"133,468","362,366","2,715","2,730",-0.7339,0.478,0.375,"2,131",16.32,16.3751,2.08,2.0792,,6.1282,2.49,2.7164,-20,1.4625,"2,715","2,985","2,445",,,,TSE
3008,大立光,2025/02/17,"2,735",869,"2,375,751",2.4345,1.48%,0.6511,"133,468","365,036","2,730","2,735",2.4053,0.485,0.705,"3,331",16.44,16.4958,2.09,2.0945,,6.1734,2.47,2.6965,65,3.3708,"2,735","3,005","2,465",,,,TSE
3008,大立光,2025/02/14,"2,670",603,"1,624,239",-1.2939,-1.66%,0.4518,"133,468","356,360","2,670","2,675",-1.3023,0.48,0.425,"4,150",16.05,16.1037,2.04,2.0448,,6.0267,2.53,2.7622,-35,2.2181,"2,670","2,935","2,405",,,,TSE
3008,大立光,2025/02/13,"2,705",453,"1,231,780",0.3711,-0.37%,0.3394,"133,468","361,031","2,705","2,715",0.3704,0.481,0.346,"1,914",16.26,16.3148,2.07,2.0716,,6.1057,2.5,2.7264,10,1.4842,"2,705","2,975","2,435",,,,TSE
3008,大立光,2025/02/12,"2,695",511,"1,384,473",-0.7366,-3.58%,0.3829,"133,468","359,697","2,695","2,700",-0.7394,0.482,0.389,"3,772",16.2,16.2545,2.06,2.0639,,6.0831,2.5,2.7365,-20,1.6575,"2,695","2,960","2,430",,,,TSE
3008,大立光,2025/02/11,"2,715",509,"1,384,845",0,-3.38%,0.3814,"133,468","362,366","2,715","2,720",0,0.484,0.416,"2,961",16.32,16.3751,2.08,2.0792,,6.1282,2.49,2.7164,0,1.6575,"2,715","2,985","2,445",,,,TSE
3008,大立光,2025/02/10,"2,715","1,192","3,268,121",-2.8623,-3.38%,0.8931,"133,468","362,366","2,715","2,725",-2.904,0.486,1.065,"6,636",16.32,16.3751,2.08,2.0792,,6.1282,2.49,2.7164,-80,3.22,"2,715","2,985","2,445",,,,TSE
3008,大立光,2025/02/07,"2,795",628,"1,759,314",-0.5338,0.72%,0.4705,"133,468","373,044","2,795","2,800",-0.5352,0.496,0.522,"2,598",16.8,16.8577,2.14,2.1405,,6.3088,2.42,2.6386,-15,1.4235,"2,795","3,070","2,520",,,,TSE
3008,大立光,2025/02/06,"2,810","1,026","2,876,220",0,-0.71%,0.7687,"133,468","375,046","2,805","2,810",0,0.502,0.911,"3,022",16.89,16.9481,2.15,2.152,,6.3427,2.4,2.6246,0,1.2456,"2,810","3,090","2,530",,,,TSE
3008,大立光,2025/02/05,"2,810",869,"2,434,084",1.2613,2.18%,0.6511,"133,468","375,046","2,805","2,810",1.2534,0.505,0.736,"2,786",16.89,16.9481,2.15,2.152,,6.3427,2.4,2.6246,35,1.8018,"2,810","3,090","2,530",,,,TSE
3008,大立光,2025/02/04,"2,775",951,"2,653,371",-1.9435,0.36%,0.7125,"133,468","370,374","2,775","2,780",-1.9626,0.507,0.685,"6,872",16.68,16.737,2.13,2.1252,,6.2637,2.43,2.6577,-55,3.0035,"2,775","3,050","2,500",,,,TSE
3008,大立光,2025/02/03,"2,830","1,787","4,978,006",2.9091,2.72%,1.3389,"133,468","377,715","2,820","2,830",2.8676,0.519,1.078,"6,322",17.01,17.0688,2.17,2.1673,,6.3878,2.39,2.606,80,4.9091,"2,830","3,110","2,550",,,,TSE
3008,大立光,2025/01/22,"2,750",786,"2,175,558",-0.5425,0.73%,0.5889,"133,468","367,038","2,750","2,755",-0.544,0.487,0.66,"2,613",16.53,16.5862,2.11,2.106,,6.2072,2.45,2.6818,-15,1.8083,"2,750","3,025","2,475",,,,TSE
3008,大立光,2025/01/21,"2,765","1,115","3,108,463",0.363,0.18%,0.8354,"133,468","369,040","2,765","2,770",0.3623,0.495,1.283,"4,236",16.62,16.6767,2.12,2.1175,,6.2411,2.44,2.6673,10,3.0853,"2,765","3,040","2,490",,,,TSE
3008,大立光,2025/01/20,"2,755",727,"2,003,368",0.9158,1.85%,0.5447,"133,468","367,705","2,750","2,755",0.9116,0.494,0.782,"3,045",16.56,16.6164,2.11,2.1099,,6.2185,2.45,2.6769,25,2.1978,"2,755","3,030","2,480",,,,TSE
3008,大立光,2025/01/17,"2,730","1,094","2,982,427",-1.087,2.63%,0.8197,"133,468","364,368","2,725","2,730",-1.0929,0.492,0.984,"3,455",16.41,16.4656,2.09,2.0907,,6.1621,2.47,2.7015,-30,2.3551,"2,730","3,000","2,460",,,,TSE
3008,大立光,2025/01/16,"2,760","1,398","3,873,477",2.0333,3.95%,1.0474,"133,468","368,372","2,755","2,760",2.0129,0.5,1.24,"5,205",16.59,16.6466,2.11,2.1137,,6.2298,2.45,2.6721,55,2.0333,"2,760","3,035","2,485",,,,TSE
3008,大立光,2025/01/15,"2,705","1,295","3,509,595",1.6917,-1.64%,0.9703,"133,468","361,031","2,700","2,705",1.6776,0.501,1.27,"5,026",16.26,16.3148,2.07,2.0716,,6.1057,2.5,2.7264,45,5.0752,"2,705","2,975","2,435",,,,TSE
3008,大立光,2025/01/14,"2,660",769,"2,035,583",0.1883,2.50%,0.5762,"133,468","355,025","2,655","2,665",0.1881,0.487,0.789,"2,976",15.99,16.0434,2.04,2.0371,,6.0041,2.54,2.7726,5,2.6365,"2,660","2,925","2,395",,,,TSE
3008,大立光,2025/01/13,"2,655","2,060","5,438,442",-3.4545,1.72%,1.5434,"133,468","354,358","2,650","2,655",-3.5156,0.492,1.328,"10,828",15.96,16.0133,2.03,2.0333,,5.9928,2.54,2.7778,-95,5.4545,"2,655","2,920","2,390",,,,TSE
